1:ItNr	2:Metric	2:Metric0	2:Metric1	3:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Metric-LC	Metric-OC	Metric-PC	Time0[ms]	Time1[ms]	Time[ms]	||Gradient-LC||	||Gradient-OC||	||Gradient-PC||
0	-0.400523	-0.807447	0.006401	4.000000	0.000565	0.000268	0.000318	0.0000001351	0.0024148723	0.0001435952	11934.3	30.9	13328.7	0.0000076980	0.0001445698	0.0001447589
1	-0.401953	-0.809850	0.005943	4.000000	0.000571	0.000249	0.000314	0.0000001287	0.0022957384	0.0001222692	11940.6	76.3	12017.1	0.0000074912	0.0001381062	0.0001327283
2	-0.403298	-0.812154	0.005558	4.000000	0.000519	0.000233	0.000288	0.0000001236	0.0021919757	0.0001050080	11930.0	77.5	12007.8	0.0000073457	0.0001325031	0.0001220565
3	-0.404549	-0.814280	0.005182	4.000000	0.000505	0.000218	0.000285	0.0000001184	0.0020803727	0.0000903336	11966.7	59.9	12026.9	0.0000072375	0.0001266549	0.0001120498
4	-0.405696	-0.816198	0.004807	4.000000	0.000457	0.000200	0.000256	0.0000001138	0.0019728979	0.0000747170	11856.2	79.2	11935.6	0.0000071845	0.0001203605	0.0001001358
5	-0.406553	-0.817578	0.004472	4.000000	0.000574	0.000185	0.000322	0.0000001090	0.0018622540	0.0000638018	11952.1	32.1	11984.5	0.0000071482	0.0001142045	0.0000912719
6	-0.406669	-0.817488	0.004150	2.000000	0.001205	0.000164	0.000608	0.0000001050	0.0017780437	0.0000489225	12277.0	46.6	12323.8	0.0000070943	0.0001075924	0.0000768607
7	-0.407479	-0.819073	0.004114	2.000000	0.000434	0.000166	0.000239	0.0000001041	0.0017552774	0.0000499671	12090.2	51.7	12141.9	0.0000070844	0.0001069491	0.0000782725
8	-0.407876	-0.819727	0.003976	2.000000	0.000483	0.000160	0.000265	0.0000001017	0.0017013625	0.0000471364	11828.8	63.1	11892.1	0.0000070753	0.0001038902	0.0000755411
9	-0.408228	-0.820300	0.003844	2.000000	0.000594	0.000152	0.000311	0.0000000997	0.0016626303	0.0000419181	11828.6	62.0	11890.9	0.0000070439	0.0001009601	0.0000697116
10	-0.408489	-0.820734	0.003757	1.000000	0.000680	0.000150	0.000352	0.0000000983	0.0016223237	0.0000413876	11974.2	43.4	12017.7	0.0000070549	0.0000989256	0.0000693995
11	-0.408735	-0.821188	0.003717	1.000000	0.000355	0.000147	0.000198	0.0000000977	0.0016117001	0.0000395947	11997.6	74.8	12072.6	0.0000070447	0.0000979734	0.0000672061
12	-0.408956	-0.821563	0.003650	1.000000	0.000344	0.000143	0.000188	0.0000000967	0.0015864987	0.0000380533	11869.8	77.9	11948.0	0.0000070445	0.0000963717	0.0000654058
13	-0.409154	-0.821898	0.003590	1.000000	0.000329	0.000140	0.000181	0.0000000959	0.0015639490	0.0000366138	11890.5	62.9	11953.7	0.0000070468	0.0000948947	0.0000636405
14	-0.409342	-0.822214	0.003529	1.000000	0.000332	0.000138	0.000178	0.0000000951	0.0015394240	0.0000355130	11853.4	64.7	11918.2	0.0000070541	0.0000933531	0.0000622959
15	-0.409497	-0.822471	0.003477	1.000000	0.000344	0.000135	0.000185	0.0000000944	0.0015198254	0.0000342535	12029.2	60.5	12089.8	0.0000070609	0.0000920235	0.0000606265
16	-0.409634	-0.822692	0.003425	1.000000	0.000407	0.000133	0.000210	0.0000000939	0.0014974233	0.0000336388	11966.3	65.0	12031.5	0.0000070731	0.0000906670	0.0000598704
17	-0.409721	-0.822832	0.003390	0.500000	0.000438	0.000131	0.000228	0.0000000935	0.0014851025	0.0000325847	11835.6	60.1	11895.7	0.0000070780	0.0000897562	0.0000583569
18	-0.409808	-0.822987	0.003370	0.500000	0.000246	0.000130	0.000134	0.0000000933	0.0014759843	0.0000324855	11816.7	62.8	11879.8	0.0000070827	0.0000892348	0.0000582646
19	-0.409883	-0.823108	0.003342	0.500000	0.000238	0.000129	0.000128	0.0000000930	0.0014642046	0.0000320328	11938.5	66.8	12005.5	0.0000070889	0.0000884790	0.0000576318
20	-0.409956	-0.823226	0.003314	0.500000	0.000231	0.000127	0.000123	0.0000000927	0.0014525490	0.0000316248	11986.4	70.9	12057.4	0.0000070950	0.0000877403	0.0000570534
21	-0.410025	-0.823336	0.003287	0.500000	0.000222	0.000126	0.000118	0.0000000924	0.0014410322	0.0000312418	11978.1	68.6	12046.9	0.0000071012	0.0000870115	0.0000564996
22	-0.410091	-0.823442	0.003260	0.500000	0.000216	0.000125	0.000114	0.0000000921	0.0014294575	0.0000308912	11931.3	65.0	11996.6	0.0000071067	0.0000862883	0.0000559882
23	-0.410152	-0.823538	0.003233	0.500000	0.000209	0.000124	0.000110	0.0000000918	0.0014179666	0.0000305638	11924.4	31.5	11956.0	0.0000071121	0.0000855740	0.0000555084
24	-0.410212	-0.823631	0.003208	0.500000	0.000202	0.000123	0.000106	0.0000000916	0.0014065594	0.0000302913	11949.5	66.7	12016.3	0.0000071164	0.0000848771	0.0000550985
25	-0.410269	-0.823721	0.003182	0.500000	0.000197	0.000122	0.000102	0.0000000913	0.0013951595	0.0000300169	11993.2	77.6	12070.9	0.0000071200	0.0000841854	0.0000546858
26	-0.410326	-0.823809	0.003156	0.500000	0.000190	0.000121	0.000098	0.0000000910	0.0013837883	0.0000297902	11886.0	76.3	11962.6	0.0000071222	0.0000835020	0.0000543336
27	-0.410380	-0.823891	0.003131	0.500000	0.000187	0.000120	0.000096	0.0000000907	0.0013723641	0.0000295378	11870.0	43.8	11914.0	0.0000071240	0.0000828139	0.0000539445
28	-0.410431	-0.823967	0.003106	0.500000	0.000185	0.000119	0.000094	0.0000000904	0.0013609373	0.0000293645	11853.5	76.5	11930.1	0.0000071242	0.0000821404	0.0000536686
29	-0.410476	-0.824033	0.003081	0.500000	0.000196	0.000118	0.000098	0.0000000901	0.0013499729	0.0000291286	11985.3	77.2	12062.8	0.0000071235	0.0000814898	0.0000533009
30	-0.410515	-0.824089	0.003060	0.500000	0.000215	0.000117	0.000108	0.0000000898	0.0013395483	0.0000290762	11956.5	77.0	12033.8	0.0000071206	0.0000809051	0.0000532047
